name,type,lc
Feldheim Publishers,publisher,https://lccn.loc.gov/n2005093094
Menucha Classroom Solutions,publisher,https://lccn.loc.gov/no2019009233
Judaica Press,publisher,https://lccn.loc.gov/n95104903
Israel Bookshop Publications,publisher,https://lccn.loc.gov/no2023028618
Artscroll Mesorah Publications,publisher,https://lccn.loc.gov/nr2001046604
Targum Press,publisher,https://lccn.loc.gov/n91117484
Merkos L'Inyonei Chinuch,publisher,https://lccn.loc.gov/nr91044085
Shai Publishing,publisher,https://lccn.loc.gov/n2009061287
Tfutza Publications,publisher,https://lccn.loc.gov/no2022011266
