keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0539,placeholder.jpg,Sand and stars : the Jewish journey through time : from the Second Temple to the sixteenth century,"Ganz, Yaffa;Wein, Berel",1994,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,illustrations (some color);color maps,"iv, 258 pages",29 cm,Jewish history for young people,,,,Includes index.,,,v. 1. From the Second Temple to the Sixteenth Century -- v. 2. From the Sixteenth Century to the present.,,History;586 BC-70 AD;70-1789,Image;StillImage,image/jpeg,eng,item
hk0540,placeholder.jpg,The face in the mirror : a fantasy,"Mermelstein, Yael",2012,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,,285 pages,21 cm,,,,,,,,,,Jewish girls;Contentment;Judaism;Orthodox Judaism;United States;New York State;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0541,placeholder.jpg,Dual secrets : a novel,"Mermelstein, Yael",2014,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,,356 pages,24 cm,,,,,,,,,"A.J. and Devora have the perfect friendship, based on shared experiences, laughter, and just plain liking each other and that years ago, A.J.'s husband saved the life of Devora's son. Now, as their children reach marriageable ages, those bonds are beginning to fray.",Ultra-Orthodox Jews;Jewish women;Friendship;United States;Jewish families;Female friendship;Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk0542,placeholder.jpg,The triple lot,"Got, Elie;Gold, D (Dovid)",2021,Shai Publishing,"Brooklyn, NY",,,,,,color illustrations,78 pages,,,,,,,,,,,Jewish children;Boys;Jewish religious education;Action and adventure;Graphic novels,Image;StillImage,image/jpeg,eng,item
hk0543,placeholder.jpg,Rabbi Riddle,"Estrin, Leibel;Sears, Dovid",2000,Shazak Unlimited,"Brooklyn, NY",,,,,,color illustrations,1 volumes,24 cm,,,,,"""Based upon the popular ""Rabbi Riddle"" study sheets, published for the National Committee for the Furtherance of Jewish Education ... to teach Torah values to Jewish children of all backgrounds""--Page 4 of cover.",,,Vol. 1. Rabbi Riddle speaks!,,Jewish way of life;Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk0544,kunda_talkingcoins.jpg,The talking coins,"Kunda, Shmuel;Shapiro, Boris",2018,Judaica Press,"Brooklyn, NY",,,Shmuel Kunda Producations,,,color illustrations,50 pages,31 cm,Kunda Classics collection,,,,"Laminated pages.;""Based on the popular story CD!""--Cover",,,,"""Who can save Berish? When Berish the butcher is thrown in prison for a crime he did not commit, all the Jews in Prague try their best to save him. But no one knows what to do. No one, that is, except young Yehuda Lowey, the son of the Chief Rabbi of Prague. Yehuda has a great idea to save Berish. Now all he has to do is get someone to listen to him ...""--back cover.","Coins;Judaism;Persecutions;Czech Republic;Prague (Czech Republic);Jewish folk literature;Haredi and religious literature;Fiction;Religious fiction;Judah Loew ben Bezalel, approximately 1525-1609",Image;StillImage,image/jpeg,eng,item
hk0545,placeholder.jpg,The story of Rebbetzin Henny Machlis : her amazing home and family : a biography for young readers,"Zakon, Nachman;Zakon, Miriam Stark",2018,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,illustrations,171 pages,24 cm,Artscroll Youth series,,,,"""Based on Emunah with love and chicken soup."";Minimal Level Cataloging Plus. DLC",,,,,"Rabbis' spouses;Ultra-Orthodox Jews;Conduct of life;Biography;Machlis, Henny",Image;StillImage,image/jpeg,eng,item
hk0546,placeholder.jpg,Second chances : a novel,"Mermelstein, Yael",2010,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,,287 pages,24 cm,,,,,,,,,"Everyone needs a second chance: Ellie Ribetsky: At twenty-nine she is a mass of contradictions; a health-food caterer who loves brownies; an ""older single"" who longs to be married yet can hardly remember the name of her latest shidduch date. Will she get a second chance at building the life she longs for? Esther and Mordechai Ribetsky: Ellie's parents face an accusation [embezzlement] that will change their lives forever. Will they ever be able to go back to their picture-perfect life? Fayna Needleman: Ellie's beloved ""Babi"" must rebuild her own life while waiting for her granddaughter to begin building hers. Can an aging woman with a broken heart have a second chance at happiness? Sarah Silver: Imprisoned for a heinous crime, it's hard to believe there can be a second chance for Sarah. Can faith and love break through a prison's walls?-- Jacket",Jewish women;United States;Single women;Jewish single people;Jewish families;Women prisoners;Mate selection;Suspicion;Remorse;Jewish way of life;Orthodox Jews;Fiction,Image;StillImage,image/jpeg,eng,item
hk0547,placeholder.jpg,Sefer Tehilim = Illustrated family Tehillim,"Shollar, Leah;Muchnik, Michoel",2011,The World Wide Tehillim Club,"Brooklyn, NY",,,Hachai Publishing,,1st edition,color illustrations,426 pages,26 cm,,,,,"""The Raskin Edition.""--Cover.",,,,,Commentaries,Image;StillImage,image/jpeg,eng,item
hk0548,placeholder.jpg,"Shemittah, what it's all about","Gevirtz, Eliezer;Fruchter, Yaakov",1993,Torah Umesorah Publications,"Brooklyn, NY",,,,,,illustrations,56 pages,26 cm,,,,,,,,,,Sabbatical year (Judaism),Image;StillImage,image/jpeg,eng,item
hk0549,placeholder.jpg,Dare to dream,"Gebber, Leah",2009,Zahav Press,"Brooklyn, NY",,,,,,,232 pages,,Abrams Family Legacy,2,,,,,,,,Jewish women;Fiction,Image;StillImage,image/jpeg,eng,item
hk0550,placeholder.jpg,The disappearing dowry,"Astaire, Libi",2009,Zahav Press,"Brooklyn, NY",,,,,,,212 pages,18 cm,Ezra Melamed,,,,,,,,"It is the summer of 1810. The Lyon family of London is eagerly preparing for the wedding of their eldest daughter Hannah. But then, Mr. Samuel Lyon, a member of London's Jewish elite, suffers a crushing blow. In the blink of an eye, Mr. Lyon's entire fortune is lost. But help soon arrives from an unexpected source: Mr. Ezra Melamed, wealthy widower and benefactor of London's Jewish community. With only a key, a button, and a few cryptic words from a Chassidic Rebbe to guide him, Mr. Melamed goes beyond London's fashionable streets to search for clues in the darkest places.",England;London (England);Jewish families;Orthodox Judaism;Manners and customs;Orthodox Jews;19th century;Fiction;Historical fiction,Image;StillImage,image/jpeg,eng,item
hk0551,placeholder.jpg,The ruby spy ring,"Astaire, Libi",2011,Zahav Press,"Brooklyn, NY",,,,,,,245 pages,17 cm,Ezra Melamed,,,,,,,,,England;Orthodox Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0552,placeholder.jpg,If you give a frog a piece of matzah,"Tal, Rachel Shifra;Truitt, Carrie",2013,Zahava Publishers,"Brooklyn, NY",,,,,,color illustrations,1 volume,23 cm,,,,,,,,,"""Come join Mr. Frog and his newfound friend on a whimsical Seder adventure, and find out what happens if you give a frog a piece of matzah . . .""--Page 4 of cover",Passover;Seder;Frogs;Fiction,Image;StillImage,image/jpeg,eng,item
hk0553,placeholder.jpg,It's called kibud av va'eim! : a story about honoring parents,"Rosenfeld, Dina Herman;Ebert, Len",2014,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,18 pages,26 cm,,,,,,,,,,Respect;Parent and child;Ten commandments;Parents,Image;StillImage,image/jpeg,eng,item
hk0554,placeholder.jpg,"Much, much better","Kosofsky, Chaim;Schiffman, Jessica",2006,Hachai Publishing,"Brooklyn, NY",,,,,Softcover edition,color illustrations,1 volume,22 x 26 cm,PJ Library,,,,"""Adapted from Stories of Elijah the prophet by Yisroel Y. Klapholtz, vol. 1, p. 159. Mishor Publishing, 1990""--Title page verso;First edition (hardcover) published in 2006.",,,,"When kind-hearted Shlomo and his wife Miriam share their sabbath meal with the prophet Elijah, disguised as an old man, the grateful visitor rewards the couple with a special gift.",Families;Generosity;Picture books;Fiction;Legends;Elijah (Biblical prophet),Image;StillImage,image/jpeg,eng,item
hk0555,placeholder.jpg,"Shabbos, Shabbos, I love you!","Lieberman, Naomi",2013,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,22 pages,26 cm,,,,,,,,,,Sabbath;Jewish girls;Jewish religious fiction;Picture books;Fiction,Image;StillImage,image/jpeg,eng,item
hk0556,placeholder.jpg,From my heart : a child talks to Hashem,"Perman, Esty;Abramskaya, Anna",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,,,,,"""Throughout the day, a child turns to Hashem to tell Him whatever's on her mind -- words of praise, all her requests, and lots of thank you's -- straight from the heart!""-- Provided by publisher.",Prayer;Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0557,placeholder.jpg,Fit for a princess,"Rotman, Risa;Leff, Tova",2008,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,36 pages,26 cm,,,,,Laminated pages.,,,,"A busy princess who can't decide what to wear gets advice from every quarter, but in the end it is up to her to select something that will make her father proud.",Princesses;Clothing and dress;Modesty;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0558,placeholder.jpg,The hidden artist,"Rubabshi, Leah Chana;Saroff, Phyllis",2014,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,23 pages,26 cm,,,,,Story in rhyme.,,,,,Nature stories;God (Judaism);Fiction,Image;StillImage,image/jpeg,eng,item
hk0559,placeholder.jpg,Let's go to the park,"Benenfeld, Rikki",2015,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,Toddler experience,,,,Laminated pages.,,,,"A rhyming story about a young Jewish brother and sister who put safety rules into practice and do lots of good deeds, or mitzvos, while enjoying a trip to the park.",Siblings;Parks and playgrounds;Safety;Conduct of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0560,placeholder.jpg,Glad to be me,"Blau, Sara;Ebert, Len",2016,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,"""Young children learn by grouping items into categories... it's a vital skill that helps them make sense of the world around them. As you read this charming, action-filled story, your child can bounce like a ball, sway like a tree, and flap like a bird. But people don't fit into any of those groups. We transcend them all, and have the wonderful ability to elevate the world with our mitzvos. Full of fun and meaning, Glad to be Me! will make even the very youngest children appreciate the unique role and responsibility we share! [...] Bonus activities included""-- Amazon.",Jewish families;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0561,placeholder.jpg,My very own letter,"Hecht, Zalmy;Judowitz, Chani",2016,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,27 cm,,,,,,,,,"""A young brother and sister are so glad to have something that unites and inspires children all over the world""-- Back cover.",Hebrew language;Alphabet;Customs and practices;Siblings;Torah scrolls;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0562,bennefeld_gotoeretzyisroel.jpg,I go to Eretz Yisroel,"Benenfeld, Rikki",2017,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,26 cm,Toddler experience,,,,Laminated pages.,,,,A rhyming story about a young Jewish brother and sister who take a plane trip to Israel.,Siblings;Air travel;Airports;Airplanes;Israel;Fiction;Stories in rhyme;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0563,placeholder.jpg,It only takes a minute,"Goetz, Bracha;Bolton, Bill 1968-",2017,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,26 cm,,,,,,,,,The main character realizes that it only takes a minute to make a big difference.,Conduct of life;Customs and practices;Kindness;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0564,placeholder.jpg,We can find a way : a Hachnosas Orchim inclusion story,"Rosenfeld, Dina Herman;Wummer, Amy",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,29 cm,,,,,,,,,,Hospitality;Judaism;Jewish families;Social integration;Birthdays;Parties;Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0565,placeholder.jpg,My sometimes feelings,"Rubabshi, Leah Chana;Wummer, Amy",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,29 cm,,,,,Laminated pages.,,,,A rhyming story in which a young Jewish boy describes the way he feels in various situations and how he copes with his feelings. Includes a note to parents and teachers.,Emotions;Judaism;Conduct of life;Haredi and religious literature;Stories in rhyme,Image;StillImage,image/jpeg,eng,item
hk0566,placeholder.jpg,"Yes, I can! : a book about learning from everyone","Kviat, Hindy;Lefkowitz, Chaya Leah;Epstein, Len",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,A brother and sister who want to be many different things discover that they are like many professionals in their community when they act they way they should.,Siblings;Etiquette;Children;Knowledge and learning;Professions;Human services;Community life;Occupations;Behavior;Conduct of life;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0567,placeholder.jpg,The creation book,"Gansburg, Chani;Ackerman, Dena",2018,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,24 pages,29 cm,,,,,Laminated pages.,,,,"""Crisp writing and extraordinary illustration combine in this unique picture book about the Creation of the world. The author's rhyming couplets detail the creations that Hashem brought into being on each passing day""-- {dollar}c Publisher's website.",Creation,Image;StillImage,image/jpeg,eng,item
hk0568,placeholder.jpg,Here comes the Mitzvah Team : a story about zrizus,"Lieberman, Naomi;Leff, Tova",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,29 cm,,,,,Laminated pages.,,,,Lively siblings rush with great speed (zrizus) to perform good deeds (mitzvos).,Time management;Jewish ethics;Jewish way of life;Conduct of life;United States;Fiction,Image;StillImage,image/jpeg,eng,item
hk0569,placeholder.jpg,Oops! I'm sorry,"Blau, Sara;Taylor, Erin 1984-",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,Laminated pages.,,,,"""When Gavi makes a mistake one day, he only says 'Oops!' With his older brother and sister showing the way, Gavi learns three important steps he can take to show he's truly sorry.""-- Page 4 of cover",Apologizing;Siblings;Jewish way of life;Jewish ethics;Fiction,Image;StillImage,image/jpeg,eng,item
hk0570,placeholder.jpg,Dear tree : a Tu B'Shvat wish,"Weber, Doba Rivka;Saroff, Phyllis",2020,Hachai Publishing,"Brooklyn, NY",,,,,Paperback edition,color illustrations,1 volume,26 cm,,,,,,,,,"Every tree needs strong roots; every tree needs lots of sunlight and rain. In honor of Tu B'Shvat, a little boy has so many good wishes for his beloved, favorite tree!",Trees;Tu bi-Shevat;Picture books;Fiction,Image;StillImage,image/jpeg,eng,item
hk0571,placeholder.jpg,I have a Jewish name!,"Vorst, Rochel Groner;Ackerman, Dena",2020,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,26 cm,,,,,,,,,,Names;Personal names;Judaism;Hebrew,Image;StillImage,image/jpeg,eng,item
hk0572,placeholder.jpg,I kiss my Mezuzah,"Benenfeld, Rikki",2020,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,"""A warm and cozy book all about the mitzvah of mezuzah. Join a young brother and sister as they bring all the mezuzos from their home to be checked by a sofer""-- Provided by publisher.",Mezuzah;Customs and practices;United States;Picture books;Haredi and religious literature;Fiction,Image;StillImage,image/jpeg,eng,item
hk0573,placeholder.jpg,My first Baal Shem Tov book,"Kaufmann, Yosef;Simon, Mira",2020,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,20 pages,26 cm,,,,,Laminated pages.,,,,,"Trust in God;Judaism;Conduct of life;Fiction;Biography;Baal Shem Tov, approximately 1700-1760",Image;StillImage,image/jpeg,eng,item
hk0574,placeholder.jpg,The surprise in the desk,"Ungar, Carol;Simon, Mira",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,22 pages,26 cm,,,,,,,,,,Rabbis;Lost and found possessions;Desks;Fiction,Image;StillImage,image/jpeg,eng,item
hk0575,placeholder.jpg,"I love you, my dear","Baron, Chaya;Munger, Nancy",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,,,,,,Love;Judaism;Parent and child;Infants;United States;Fiction;Stories in rhyme;Picture books,Image;StillImage,image/jpeg,eng,item
hk0576,placeholder.jpg,"Mitzvah, guess who?","Stern, Ariella;Argoff, Patti",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,24 pages,19 cm,,,,,,,,,,Commandments (Judaism),Image;StillImage,image/jpeg,eng,item
hk0577,placeholder.jpg,The traveling smile,"Benenfeld, Rikki;Eisenreich, Toby",2021,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,Laminated pages.,,,,,Smiling;Judaism;Interpersonal relations;Jewish ethics;Picture books;Fiction,Image;StillImage,image/jpeg,eng,item
hk0578,placeholder.jpg,Sukkos guess who?,"Stern, Ariella;Argoff, Patti",2022,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,20 cm,Guesso who,,,,,,,,"""Lift the flaps to discover the answers to the Sukkos Riddles""-- Provided by publisher.",Sukkot;Jewish families;Picture books;Lift-the-flap books;Puzzles and games,Image;StillImage,image/jpeg,eng,item
hk0579,placeholder.jpg,I can help,"Benenfeld, Rikki",2022,Hachai Publishing,"Brooklyn, NY",,,,,"1st edition, January 2022",color illustrations,1 volume,26 cm,Toddler experience,,,,Laminated pages.,,,,,Siblings;Conduct of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0580,placeholder.jpg,"Oh, how I wish","Blau, Sara;Binder, Yehudit",2023,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,Laminated pages.,,,,,Commandments (Judaism);Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0581,stern_shabbosguesswho.jpg,Shabbos guess who?,"Stern, Ariella;Argoff, Patti",2023,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,20 cm,Guesso who,,,,,,,,,Sabbath;Jewish families;Lift-the-flap books;Picture books,Image;StillImage,image/jpeg,eng,item
hk0582,placeholder.jpg,I can wait,"Benenfeld, Rikki",2023,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,27 cm,,,,,,,,,"""Join a young brother and sister who practice waiting throughout the week!""-- Page 4 of cover.",Siblings;Patience;Conduct of life,Image;StillImage,image/jpeg,eng,item
hk0583,placeholder.jpg,Eight bright nights,"Spitz, Hindy;Liu, Jessica",2022,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,22 pages,29 cm,,,,,Laminated pages.,,,,"""A loving family lights the menorah on all eight nights of Chanukah. Join in as they count from 1 to 8, while enjoying all the festive holiday traditions!""-- Provided by publisher.",Hanukkah,Image;StillImage,image/jpeg,eng,item
hk0584,placeholder.jpg,Feeling better A to Z : a book about bikur cholim,"Chomer, Malaka Nussbaum;Bolton, Bill 1968-",2019,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,24 pages,29 cm,,,,,Printed on laminated pages.,,,,"In this alphabet book, a young brother and sister discover many ways in which they can perform the mitzvah of Bikur Cholim, visiting and helping those who are sick or injured.",Visiting the sick (Judaism);Jewish ethics;Conduct of life;Kindness;Alphabet books;Customs and practices;Sick;Fiction,Image;StillImage,image/jpeg,eng,item
hk0585,placeholder.jpg,Hello morning!,"Freedman, Chaya;Ackerman, Dena",2022,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,20 pages,26 cm,,,,,Laminated pages.,,,,,Judaism;Prayers and devotions;Jewish morning customs;Picture books;Fiction,Image;StillImage,image/jpeg,eng,item
hk0586,placeholder.jpg,Hear the megillah : a playful action rhyme,"Broide, Tova Gitty;Argoff, Patti",2018,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,12 pages,,,,,,,,,,,Purim,Image;StillImage,image/jpeg,eng,item
hk0587,placeholder.jpg,Light the menorah : a playful action rhyme,"Broide, Tova Gitty;Argoff, Patti",2019,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,10 pages,20 x 20 cm,,,,,,,,,,Hanukkah,Image;StillImage,image/jpeg,eng,item
hk0588,placeholder.jpg,Sorry about that,"Steinberg, Ruth;Zakon, Miriam Stark",2021,Menucha Publishers,"Brooklyn, NY",,,,,,,140 pages,21 cm,Baker's dozen,15,,,,,,,,Siblings;Jewish way of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0589,placeholder.jpg,Holding on : a teen novel,"Riger, Shoshana",2021,Menucha Publishers,"Brooklyn, NY",,,,,,,172 pages,24 cm,,,,,,,,,"It's hard to let go...Aviva Meyers is an outgoing, ultra-popular teen. Michali, her artistic and introverted twin sister, was her best friend. Tragedy leaves Aviva bereaved and confused, unable to move on. Her friends desperately try to help her, but Aviva resists their overtures. Will she ever learn to live and laugh again?Then Shari enters her life. Can Shari, facing her own challenges, pierce the barriers around Aviva's heart? Readers will root for Aviva as she struggles to let go of her loss and hold on to the promise of a new future.--Back cover.",Teenage girls;Jewish teenagers;Female friendship;Jewish girls;United States;Twin sisters;Grief;Friendship;Fiction;Novels;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0590,placeholder.jpg,The secret code and other stories,"Kranzler, Gershon;Kotler, Arkady;Kotler, Elina;Waldman, Bryna",1991,Merkos L'Inyonei Chinuch,"Brooklyn, NY",,,,,,illustrations,107 pages,22 cm,,,,,,,,,"A collection of stories, including ""A Bar Mitzvah Boy's Revenge,"" ""Chanukah in Stalag 32,"" and ""Rescue from the Ocean.""",Jewish literature,Image;StillImage,image/jpeg,eng,item
hk0591,placeholder.jpg,The Maharal to the rescue : and other stories of Rabbi Yehudah Loew of Prague,"Mindel, Nissan;Ayache, Avraham",2007,Merkos L'Inyonei Chinuch,"Brooklyn, NY",,,,,,illustrations,67 pages,22 cm,,,,,,,,"The Maharal's bride -- The Maharal to the rescue -- The strange dream -- The bayonet in the Golem's tomb -- Rabbi Yehudah Loew, biographical sketch.",,"Rabbis;Czech Republic;Prague (Czech Republic);Legends;Judah Loew ben Bezalel, approximately 1525-1609",Image;StillImage,image/jpeg,eng,item
hk0592,placeholder.jpg,The Golem of Prague,"Kuperman, T;Pollack, Gadi",2007,Artscroll Mesorah Publications,"Brooklyn, NY",,,,,1st edition,color illustrations,96 pages,29 cm,Artscroll Youth series,,,,,,,,"In the 16th century, Rabbi Yehudah Loewe, the Maharal of Prague, brings a golem to life to help protect the Jewish Ghetto of Prague from anti-Semitic attacks.","Golem;Jewish legends;Czech Republic;Folklore;Fiction;Legends;Judah Loew ben Bezalel, approximately 1525-1609",Image;StillImage,image/jpeg,eng,item
hk0593,placeholder.jpg,Children's stories about friendship,"Fuchs, Menuchah;Miri",2000,Judaica Press,"Brooklyn, NY",,,,,,illustrations,42 pages,21 cm,Children's Learning Series,,,,,,,Telling jokes -- The pajama problem -- Backpacks -- The shortcut -- Marbles for everyone.,,Friendship;Conduct of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0594,placeholder.jpg,Me and my feelings : giving kids calming tools to work through strong emotions,"Kamman, Chanie",2021,Judaica Press,"Brooklyn, NY",,,,,,illustrations (some color),1 volume,29 cm,,,,,,,,,"""Giving kids calming tools to work through strong emotions This is the perfect book to help children process their emotions in a healthy way.""--Amazon.com.",Emotions;Emotional intelligence;Calmness;Judaism;Self-help techniques;Fiction,Image;StillImage,image/jpeg,eng,item
hk0595,placeholder.jpg,"Kids cooking with Chef Shiri : easy recipes, fun facts, Torah tidbits and more!","Harari, Efraim",2019,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,color illustrations,160 pages,26 cm,,,,,,,,,"Come and join Chef Shiri and Buzz the Brachos Bee as they cook up foods that are so much fun to make - and so delicious to eat! Fantastic kid-friendly recipes. Every recipe includes a list of utensils and ingredients needed. Clear, easy-to-follow instructions Three cooking levels: Easy Shmeezy, Rising Star, Junior Chef. And that's not all. Here are some more amazing features in Kids Cooking with Chef Shiri: Wonders of creation: Let's read about the awesome world Hashem created for us. Buzz the Brachos Bee: Buzz tells you about berachos. A Dash of Humor: You're going to love these jokes! Chef Shiri Says: Tips to make you an even better cook. Torah Tidbits: Short, interesting Torah thoughts. Kitchen FAQs: Find out about the laws of keeping kosher. Fun Food Facts: Strange...but true!",Jewish cooking;Cooking;Food;Judaism;Grace at meals;Cookbooks;Illustrated works,Image;StillImage,image/jpeg,eng,item
hk0596,placeholder.jpg,The clue of the gold earring,"Yasgur, Batya Swift",2001,Aura Publishing Company,"Brooklyn, NY",,,,,,,239 pages,22 cm,Bina Gold,,,,,,,,,Bina Gold (Fictitious character);Detective and mystery;Fiction,Image;StillImage,image/jpeg,eng,item
hk0597,placeholder.jpg,The wheat kernel,"Fingerer, Yussie;Fingerer, Esther;Scheinberg, Shepsil",2002,Yussie and Esther Fingerer,"Lakewood, NJ",,,Aura Printing,,,illustrations,21 pages,24 cm,,,,,,,,,The little wheat kernel wishes it will be used for a mitzva (good deed).,Customs and practices;Wheat;Commandments (Judaism);Fiction,Image;StillImage,image/jpeg,eng,item
hk0598,placeholder.jpg,Yerachmiel Spinnet's millions of minutes,"Gottlieb, Yaffa;Lazarus, Bryna Silverstein",1986,Aura Publishing Company,"Brooklyn, NY",,,,,,color illustrations,32 pages,22 x 28 cm,,,,,,,,,,Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0599,placeholder.jpg,King David and the frog : adapted from Perek Shira,"Zakutinsky, Ruth;Backman, Aidel;Gottlieb, Yaffa",1986,Aura Publishing Company,"Brooklyn, NY",,,,,,color illustrations,27 pages,29 cm,,,,,,,,,,"Praise of God;Creation;Jewish religious education;Legends;David, King of Israel",Image;StillImage,image/jpeg,eng,item
hk0600,placeholder.jpg,What happened to crazy Yosel?,"Bendet, Meir;Gottlieb, Yaffa",1989,Bash Publications,"Brooklyn, NY",,,,,1st edition,color illustrations,32 pages,26 cm,,,,,,,,,,Homelessness,Image;StillImage,image/jpeg,eng,item
hk0601,placeholder.jpg,Dertseyl mir di parshe : ... a tamtses fun di parshas hashovua far yunge kÌ£inder,"Weissman, R;Rothman, S",1994,Bnay Yakov Publications,"Brooklyn, NY",,,,,,illustrations,volumes,29 cm,,,,,,,,v. 1. Bereshis.,,Education,Image;StillImage,image/jpeg,eng,item
hk0602,placeholder.jpg,Shabbos at the airport : stories of the Lubavitcher,"Touger, Malka",2016,BSD Publishers,"Brooklyn, NY",,,,,,,182 pages,23 cm,,,,,,,,,,Habad;Hasidism;Airports;Fiction;Anecdotes,Image;StillImage,image/jpeg,eng,item
hk0603,placeholder.jpg,"The spy, the fire and the KGB : great stories of great Chassidim","Weiss, Mendy;Yarhi, G'aki",2016,BSD Publishers,"Brooklyn, NY",,,,,,color illustrations,40 pages,31 cm,,,,,,,,,"""Follow heroic Chassidim of yesteryear, as you read about their challenges and triumphs: insisting on kosher food on the brink of starvation, laying tefillin in the midst of war, teaching Torah under the treat of imprisonment, and putting themselves in great danger to help others""-- Back cover.",Persecutions;Soviet Union;Hasidim;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0604,placeholder.jpg,Mezibuz : tales of the Baal Shem Tov,"Gruner, Levi Yitshak;Golstein, Yaniv",2019,BSD Publishers,"Brooklyn, NY",,,,,1st edition,color illustrations,49 pages,31 cm,,,,,,,,,,"Hasidism;Legends;Jewish religious education;Israel;Hasidim;Religious comics;Graphic novels;Haredi and religious literature;Baal Shem Tov, approximately 1700-1760",Image;StillImage,image/jpeg,eng,item
