keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0018,adler_trapinshanghai1.jpg,Trap in Shanghai,"Adler, Tsevi Aryeh;Katz, Adi;Davis, N;David, N",2017,Comics: Kosher comics for kids,"Bnei Brak, Israel",,,,,,color illustrations,74 pages,32 cm,End of the world,,,,,Malkodet be-Shanghai,,,"Rabbi Shaked, of South Africa, meets a mysterious ""uncle"" in a mansion, who first tells him about how Shaked's studious father kept Jewish boys from losing their Judaism, went in wartime to Shanghai and then hid from the secret police; he asks Shaked to bring him the man's papers. Rabbi Shaked escapes the mansion with unexpected help from a secret service, but then they send him to Shanghai to bring them a secret list. More in part two...",Yeshivas;Lithuania;Rabbis;Persecutions;Russia;China;Shanghai (China);Jewish religious fiction;Fiction,Image;StillImage,image/jpeg,eng,item
hk0019,placeholder.jpg,Wake up Mish and Mush : a story about negel vasser,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,1,,,,,,,,Hand washing (Jewish rite),Image;StillImage,image/jpeg,eng,item
hk0020,placeholder.jpg,Goodnight Mish and Mush : a story about the bedtime Shema,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,10,,,,,,,,,Image;StillImage,image/jpeg,eng,item
hk0021,placeholder.jpg,How many coins in the pushka today : a story about numbers,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,2,,,,,,,,Charity;Judaism,Image;StillImage,image/jpeg,eng,item
hk0022,placeholder.jpg,"The porridge is ready, but something is missing : a story about brochos","Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,3,,,,,,,,,Image;StillImage,image/jpeg,eng,item
hk0023,placeholder.jpg,Where did all these leaves come from? : a story about Hashem,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,4,,,,,,,,Creation,Image;StillImage,image/jpeg,eng,item
hk0024,placeholder.jpg,"Mish and Mush, Mish and Mush, what do you see? : a story about Alef Bais and colors","Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,13 pages,16 cm,Mish and Mush,5,,,,,,,,Alphabet;Judaism,Image;StillImage,image/jpeg,eng,item
hk0025,placeholder.jpg,Sharing and caring,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,6,,,,,,,,Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk0026,placeholder.jpg,Smile! Gam zu letova : a everything happens for the best,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,7,,,,,,,,Jewish ethics,Image;StillImage,image/jpeg,eng,item
hk0027,placeholder.jpg,Inside outside : a story about opposites,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,8,,,,,,,,Jewish themes in children's literature,Image;StillImage,image/jpeg,eng,item
hk0028,placeholder.jpg,Hakoras hatov and a great big hug : a story about saying thank you,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2001,Mish and Mush Creations,"Bondi Junction, NSW, Australia",,,,,,color illustrations,15 pages,16 cm,Mish and Mush,9,,,,,,,,Jewish ethics,Image;StillImage,image/jpeg,eng,item
