objectid,objecttype,title,lc,nli,viaf,wiki,filename,creator,date,publisher,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,display_template
hk0595,item,"Kids cooking with Chef Shiri : easy recipes, fun facts, Torah tidbits and more!",,,,,placeholder.jpg,"Harari, Efraim",2019,Artscroll Mesorah Publications,"Brooklyn, NY",Shaar Press,,,,1st edition,color illustrations,160 pages,26 cm,,,,,,,,,"Come and join Chef Shiri and Buzz the Brachos Bee as they cook up foods that are so much fun to make - and so delicious to eat! Fantastic kid-friendly recipes. Every recipe includes a list of utensils and ingredients needed. Clear, easy-to-follow instructions Three cooking levels: Easy Shmeezy, Rising Star, Junior Chef. And that's not all. Here are some more amazing features in Kids Cooking with Chef Shiri: Wonders of creation: Let's read about the awesome world Hashem created for us. Buzz the Brachos Bee: Buzz tells you about berachos. A Dash of Humor: You're going to love these jokes! Chef Shiri Says: Tips to make you an even better cook. Torah Tidbits: Short, interesting Torah thoughts. Kitchen FAQs: Find out about the laws of keeping kosher. Fun Food Facts: Strange...but true!",Jewish cooking;Cooking;Food;Judaism;Grace at meals;Cookbooks;Illustrated works,Image;StillImage,image/jpeg,item
hk0596,item,The clue of the gold earring,,,,,placeholder.jpg,"Yasgur, Batya Swift",2001,Aura Publishing Company,"Brooklyn, NY",,,,,,,239 pages,22 cm,Bina Gold,,,,,,,,,Bina Gold (Fictitious character);Detective and mystery;Fiction,Image;StillImage,image/jpeg,item
hk0597,item,The wheat kernel,,,,,placeholder.jpg,"Fingerer, Yussie;Fingerer, Esther;Scheinberg, Shepsil",2002,Yussie and Esther Fingerer,"Lakewood, NJ",,,Aura Printing,,,illustrations,21 pages,24 cm,,,,,,,,,The little wheat kernel wishes it will be used for a mitzva (good deed).,Customs and practices;Wheat;Commandments (Judaism);Fiction,Image;StillImage,image/jpeg,item
hk0598,item,Yerachmiel Spinnet's millions of minutes,,,,,placeholder.jpg,"Gottlieb, Yaffa;Lazarus, Bryna Silverstein",1986,Aura Publishing Company,"Brooklyn, NY",,,,,,color illustrations,32 pages,22 x 28 cm,,,,,,,,,,Judaism;Fiction,Image;StillImage,image/jpeg,item
hk0599,item,King David and the frog : adapted from Perek Shira,,,,,placeholder.jpg,"Zakutinsky, Ruth;Backman, Aidel;Gottlieb, Yaffa",1986,Aura Publishing Company,"Brooklyn, NY",,,,,,color illustrations,27 pages,29 cm,,,,,,,,,,"Praise of God;Creation;Jewish religious education;Legends;David, King of Israel",Image;StillImage,image/jpeg,item
hk0600,item,What happened to crazy Yosel?,,,,,placeholder.jpg,"Bendet, Meir;Gottlieb, Yaffa",1989,Bash Publications,"Brooklyn, NY",,,,,1st edition,color illustrations,32 pages,26 cm,,,,,,,,,,Homelessness,Image;StillImage,image/jpeg,item
hk0601,item,Dertseyl mir di parshe : ... a tamtses fun di parshas hashovua far yunge kÌ£inder,,,,,placeholder.jpg,"Weissman, R;Rothman, S",1994,Bnay Yakov Publications,"Brooklyn, NY",,,,,,illustrations,volumes,29 cm,,,,,,,,v. 1. Bereshis.,,Education,Image;StillImage,image/jpeg,item
hk0602,item,Shabbos at the airport : stories of the Lubavitcher,,,,,placeholder.jpg,"Touger, Malka",2016,BSD Publishers,"Brooklyn, NY",,,,,,,182 pages,23 cm,,,,,,,,,,Habad;Hasidism;Airports;Fiction;Anecdotes,Image;StillImage,image/jpeg,item
hk0603,item,"The spy, the fire and the KGB : great stories of great Chassidim",,,,,placeholder.jpg,"Weiss, Mendy;Yarhi, G'aki",2016,BSD Publishers,"Brooklyn, NY",,,,,,color illustrations,40 pages,31 cm,,,,,,,,,"""Follow heroic Chassidim of yesteryear, as you read about their challenges and triumphs: insisting on kosher food on the brink of starvation, laying tefillin in the midst of war, teaching Torah under the treat of imprisonment, and putting themselves in great danger to help others""-- Back cover.",Persecutions;Soviet Union;Hasidim;Haredi and religious literature,Image;StillImage,image/jpeg,item
hk0604,item,Mezibuz : tales of the Baal Shem Tov,,,,,placeholder.jpg,"Gruner, Levi Yitshak;Golstein, Yaniv",2019,BSD Publishers,"Brooklyn, NY",,,,,1st edition,color illustrations,49 pages,31 cm,,,,,,,,,,"Hasidism;Legends;Jewish religious education;Israel;Hasidim;Religious comics;Graphic novels;Haredi and religious literature;Baal Shem Tov, approximately 1700-1760",Image;StillImage,image/jpeg,item
hk0605,item,The haunted house,,,,,placeholder.jpg,"Gruner, Levi Yitshak;Levi, Yuta;Vorst, Rochel Groner",2021,BSD Publishers,"Brooklyn, NY",,,,,,illustrations,48 pages,31 cm,,,,,,,,,,"Hasidism;Legends;Graphic novels;Baal Shem Tov, approximately 1700-1760",Image;StillImage,image/jpeg,item
hk0606,item,What is a chassid?,,,,,placeholder.jpg,"Zimmerman, Sholom;Yarhi, G'aki",2022,BSD Publishers,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,19 cm,,,,,,,,,,Hasidim;Conduct of life;Habad,Image;StillImage,image/jpeg,item
hk0607,item,"Mission impossible : the miraculous rescue of the Rebbe, Rabbi Yosef Yitzchak Schneerson of Lubavitch from occupied Poland during the Holocaust",,,,,placeholder.jpg,"Ruderman, Sheneur Zalman;Yarhi, G'aki;Weiss, Mendy",2015,BSD Publishers,"Brooklyn, NY",,,,,,color illustrations,38 pages,31 cm,,,,,,Hebrew,,,,"Hasidism;Habad;Rabbis;Poland;Translations;Haredi and religious literature;Biography;Schneersohn, Joseph Isaac, 1880-1950",Image;StillImage,image/jpeg,item
hk0608,item,Danger in Iran: and other stories of the Lubavitcher Rebbe and gedolei Yisroel,,,,,placeholder.jpg,"Weiss, Mendy;Yarhi, G'aki",2021,BSD Publishers,"Brooklyn, NY",,,,,1st edition,color illustrations;color portraits,1 volume,31 cm,,,,,,,,,,"Rabbis;20th century;Anecdotes;Biography;Schneerson, Menachem Mendel, 1902-1994",Image;StillImage,image/jpeg,item
hk0609,item,The ultimate zemiros for kids,,,,,placeholder.jpg,"Schachter, Fishel;Suval, Yishaya",2010,Emunah S Publishing,"Brooklyn, NY",,,,,,illustrations,41 pages,29 cm,,,,,,,,,,Jewish religious education,Image;StillImage,image/jpeg,item
hk0610,item,Tales in toons,,,,,placeholder.jpg,"Keren, Daniel;Pensky, Tzai R;Goldwasser, Dovid",2014,Emunah S Publishing,"Brooklyn, NY",,,,,,illustrations,41 pages,,,,,,,,,,,,Image;StillImage,image/jpeg,item
hk0611,item,Rabbi Riddle speaks!,,,,,placeholder.jpg,"Estrin, Leibel;Sears, Dovid",2000,Feldheim Publishers,"Brooklyn, NY",,,,,,,32 pages,,,,,,,,,,,Judaism,Image;StillImage,image/jpeg,item
hk0612,item,The story of Danny Three Times,,,,,placeholder.jpg,"Estrin, Leibel;Zelcer, Amir",1989,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,32 pages,27 cm,,,,,,,,,,Listening;Fiction,Image;StillImage,image/jpeg,item
hk0613,item,Labels for Laibel,,,,,placeholder.jpg,"Rosenfeld, Dina Herman;Nodel, Norman",1990,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,30 pages,27 cm,,,,,,,,,Story told in rhyme: Laibel does not want to share with younger brother Yossi and decides green labels with his name will be just what he needs to show what belongs to him.,Sharing;Brothers;Fiction,Image;StillImage,image/jpeg,item
hk0614,item,Yossi and Laibel hot on the trail,,,,,placeholder.jpg,"Rosenfeld, Dina Herman;Nodel, Norman",1991,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,27 cm,,,,,,,,,A rhyming adventure of two brothers following a trail of good deeds to help every Jew- no matter what and no matter who!,Helping behavior;Helpfulness;Fiction,Image;StillImage,image/jpeg,item
hk0615,item,Rambam : the story of Rabbi Moshe ben Maimon,,,,,placeholder.jpg,"Yaffe, Rochel",1992,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,illustrations;maps,"xi, 209 pages",24 cm,,,,,,,Includes bibliographical references.,,,"Rabbis;Egypt;Jewish scholars;Biography;Maimonides, Moses, 1135-1204",Image;StillImage,image/jpeg,item
hk0616,item,Five alive! : my Yom Tov five senses,,,,,placeholder.jpg,"Rosenfeld, Dina Herman;Leff, Tova",2003,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,,,,,"See, hear, smell, taste and touch and celebrated the Jewish holidays.",Senses and sensation;Fasts and feasts;Judaism;Fiction,Image;StillImage,image/jpeg,item
hk0617,item,My upsheren book,,,,,placeholder.jpg,"Gottlieb, Yaffa;Bindell, Binah Tirzah",1991,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,30 pages,26 cm,,,,,,,,,"On his third birthday, a young boy and his family celebrate a special occasion.",Birthdays;Haircutting;Customs and practices;Upsheren;Fiction,Image;StillImage,image/jpeg,item
hk0618,item,What will the world be like? : by Adel Lebovics ; illustrated by Norman Nodel.,,,,,placeholder.jpg,"Lebovics, Aydel;Nodel, Norman",1993,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,"31, 1 pages",26 cm,,,,,,,,,,Messianic era (Judaism),Image;StillImage,image/jpeg,item
hk0619,item,Once upon a time,,,,,placeholder.jpg,"Zelcer, Draizy;Romanenko, Vitaliy",2001,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,29 cm,,,,,,,,,A book that celebrates Jewish daily life.,Time;Social life and customs;Community life;Fiction,Image;StillImage,image/jpeg,item
hk0620,item,The sukkah that I built,,,,,placeholder.jpg,"Vorst, Rochel Groner;Victor-Elsby, Elizabeth",2002,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,26 cm,,,,,,,,,"With the help of his family, a young Jewish boy builds a sukkah for Sukkot, or the Festival of Ingathering, a fall celebration of the harvest.",Sukkah;Sukkot;Fiction,Image;StillImage,image/jpeg,item
hk0621,item,Let's go shopping,,,,,placeholder.jpg,"Benenfeld, Rikki",2005,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,Toddler experience,,,,,,,,"A young boy and girl enjoy shopping with their mother, from the butcher shop where they buy kosher meat, to the fish store, the supermarket, and the bakery, doing mitzvos, or good deeds all along the way.",Shopping;Customs and practices;Fiction,Image;StillImage,image/jpeg,item
hk0622,item,What do I say : a lift-the-flap book,,,,,placeholder.jpg,"Goldberg, Malky;Argoff, Patti",2005,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,20 cm,,,,,Includes lift-up flaps.,,,,,,Image;StillImage,image/jpeg,item
hk0623,item,I go visiting,,,,,placeholder.jpg,"Benenfeld, Rikki",2007,Hachai Publishing,"Brooklyn, NY",,,,,,chiefly color illustrations,1 volume,27 cm,Toddler experience,,,,,,,,A young child visits a friend's house for a first sleep-over.,Sleepovers;Etiquette;Customs and practices;Fiction,Image;StillImage,image/jpeg,item
hk0624,item,Tuky : the story of a hidden child,,,,,placeholder.jpg,"Rosenfeld, Shterni;Yarhi, G'aki",2015,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,illustrations,172 pages,22 cm,,,,,"""Based on true events in the life of Mrs. Tuky Treitel.""",,,,"As a young girl, Tuky lived a carefree life in Budapest, and she and her brothers, sisters, and cousins spent their days learning, playing, and helping others. But life changed drastically when Hungary entered World War II on the German side. With the Nazis in charge, Tuky's family had to separate and go into hiding, and she had to go live with a non-Jewish farm family in the country, along with her younger brother and cousin. Will Tuky be able to remember that she is Jewish, and take care of the little boys? And when will her parents come to take them home?","Jewish girls;Hungary;Hidden children (Holocaust);World War II, 1939-1945;Holocaust, Jewish (1939-1945);History;1918-1945;Biography;Fiction;Historical fiction;Treitel, Tuky",Image;StillImage,image/jpeg,item
hk0625,item,If I went to the moon,,,,,placeholder.jpg,"Blau, Sara;Romanenko, Vitaliy;Romanenko, Vasillisa",2015,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,24 pages,,,,,,,,,,,Jewish ethics;Moon;Fiction,Image;StillImage,image/jpeg,item
hk0626,item,The marvelous mix-up : and other tales of Reb Shalom,,,,,feuerman_marvelousmixupjpg,"Feuerman, Ruchama King;Romanenko, Vitaliy",1997,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,illustrations,112 pages,22 cm,Fun-to-read book,,,,,,,Bizbazzel -- The marvelous mix-up -- Reb Shalom remembers.,Three tales concerning the Jewish town of Keppel and the wise Reb Shalom who lives there.,Eastern Europe;Rabbis;Europe;Fiction,Image;StillImage,image/jpeg,item
hk0627,item,I am a torah : a playful action rhyme,,,,,placeholder.jpg,"Paluch, Beily;Argoff, Patti",2014,Hachai Publishing,"Brooklyn, NY",,,,,2nd edition,color illustrations,1 volume,21 cm,,,,,On board pages.,,,,,Torah scrolls,Image;StillImage,image/jpeg,item
hk0628,item,Rambam : the story of Rabbi Moshe ben Maimon,,,,,yaffe_rambam.jpg,"Yaffe, Rochel;Nodel, Norman",2014,Hachai Publishing,"Brooklyn, NY",,,,,Revised POD edition 2014,illustrations,215 pages,,,,,,,,,,,"Rabbis;Egypt;Jewish scholars;Biography;Maimonides, Moses, 1135-1204",Image;StillImage,image/jpeg,item
hk0629,item,Wherever we go!,,,,,placeholder.jpg,"Altein, Chani;Lumer, Marc;Olivares, Jovani",2014,Hachai Publishing,"Brooklyn, NY",,,,,,illustrations,18 pages,29 cm,,,,,,,,,,Jewish way of life;Orthodox Judaism,Image;StillImage,image/jpeg,item
hk0630,item,There's a reason why! : a dan l'kaf zechus story,,,,,placeholder.jpg,"Biniashvili, Freidele Galya Soban;Zimmer, Glenn",2016,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,chiefly color illustrations,1 volume,29 cm,,,,,Laminated pages.,,,,"A boy worries when his best friend seems to be ignoring him, but follows the rule of ""dan l'kaf zechus,"" trusting and giving his friend the benefit of the doubt.",Customs and practices;United States;Friendship;Fairness;Stories in rhyme;Fiction,Image;StillImage,image/jpeg,item
hk0631,item,Hidden,,,,,yudasin_hidden.jpg,"Yudasin, Rivkah;Yarhi, G'aki",2023,Hachai Publishing,"Brooklyn, NY",,,,,,illustrations,38 pages,22 cm,Junior Fun-to-Read Adventures,,,,,,,,"When Reb Yitzchak Zilber was a young man, he lived in Communist Russia. The government made strict laws against teaching Torah and observing Shabbos. They punished people who wouldn't spy on others and report them for breaking the rules. Because Reb Yitzchak would not tell on a fellow Jew, the government sent him to a work camp that was like a jail. In the freezing cold, far away from his family, Reb Yitzchak had to stack logs in the forest every day. Could he find a way to keep from working on Shabbos?","Soviet Union;Political prisoners;Labor camps;Zilber, Itskhak, 1917-2004",Image;StillImage,image/jpeg,item
hk0632,item,The key under the pillow : a story about honoring parents,,,,,placeholder.jpg,"Shollar, Leah;Klineman, Harvey",2004,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,"""Adapted from Talmud Bavli, Kiddushin 31/A, including Rashi and Tosfos.""",,,,,Fathers and sons;Respect;Honor;Aggada;Fiction,Image;StillImage,image/jpeg,item
hk0633,item,Eli and Ohr,,,,,placeholder.jpg,"Gottlieb, Yaffa;Backman, Aidel",1989,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,,,,,,Jewish way of life;Sabbath;Fiction,Image;StillImage,image/jpeg,item
hk0634,item,The lost and found wallet,,,,,placeholder.jpg,"Bendet, Meir;Gottlieb, Yaffa",1990,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,32 pages,26 cm,,,,,,,,,,Lost and found possessions;Jewish ethics;Fiction,Image;StillImage,image/jpeg,item
hk0635,item,Get well soon : a Bikur Cholim story,,,,,placeholder.jpg,"Rosenfeld, Dina Herman;Lyampe, Rina",2001,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,27 cm,,,,,,,,,"Little Eli loves to do the important mitzva of Bikur Cholim, visiting the sick, but germs, hospital rules, and doctor orders make it so difficult. So he causes headache to his big sister Mindy and rushes to do Bikur Cholim to her.",Commandments (Judaism);Bikur;Cholim (Judaism);Visiting the sick (Judaism);Customs and practices;Sick;Fiction,Image;StillImage,image/jpeg,item
hk0636,item,Time for Torah,,,,,placeholder.jpg,"Schwebel, Devorah;Katz, Tova",2010,Hachai Publishing,"Brooklyn, NY",,,,,1st edition,color illustrations,1 volume,26 cm,,,,,,,,,,,Image;StillImage,image/jpeg,item
hk0637,item,Thank you for everything! : a book about thanking Hashem,,,,,placeholder.jpg,"Shlomo, Pia;Argoff, Patti",2011,Hachai Publishing,"Brooklyn, NY",,,,,,illustrations,1 volume,23 x 24 cm,,,,,,,,,,God (Judaism);Goodness;Gratitude;Judaism,Image;StillImage,image/jpeg,item
hk0638,item,Lightning bolts : and other stories,,,,,placeholder.jpg,"Jakubowicz, M",2013,Hamodia Publishing,"Brooklyn, NY",,,,,,,368 pages,22 cm,,,,,,,,,"What if your parents told you that you were moving halfway around the world, away from all your friends, and everything you know and love? What if the friend you've known all your life suddenly treats you as if you're different, and not in a good way? What would you do if the Queen of England was due to arrive at your camp and you were clueless how to behave in front of her? What if you're invited to join some classmates on the trip of a lifetime but you know, deep down, that something is very wrong? Life is full of lightning bolt moments things that aren't typical, and aren't really supposed to occur ... and yet they do anyway. M. Jakubowicz's Lightning Bolts and Other Stories is all about these kinds of moments. Meet all types of kids just like you and join them as they experience their own unique strokes of lightning.",Jewish girls;Jewish day schools;Jewish way of life;Fiction;Short stories,Image;StillImage,image/jpeg,item
hk0639,item,U turn,,,,,placeholder.jpg,"Ben Shachar, Chaya Sara",2015,Hamodia Publishing,"Brooklyn, NY",,,,,,,202 pages,23 cm,,,,,,,,,"""When Margaret and Julie Miller plummet down the ravine in a horrible car accident, their lives are irrevocably changed. While Margaret is recovering at the hospital, she meets Shiffy Levine and the two form an instant friendship. Meanwhile, big sister Julie is dealing with her guilt at causing the accident. Henry Miller, Margaret and Julie's younger brother, should be celebrating his bar mitzvah and getting ready to join the ranks of Jewish adulthood. Instead he joins a dangerous club and ends up in a lot of hot water. How does Shiffy's father react to the crime committed in his shul? And how do Julie and Margaret go about getting ready for their younger brother's bar mitzvah while making changes in their own lives? U-Turn, a novel about true change.""--Amazon.com",Young adult fiction;Bildungsromans;Fiction,Image;StillImage,image/jpeg,item
hk0640,item,Over the gate,,,,,placeholder.jpg,"Rosman, Bracha",2016,Hamodia Publishing,"Brooklyn, NY",,,,,,,191 pages,24 cm,,,,,Novels.,,,,"""Layla Schulman has only a long, lonely summer to look forward to in the isolated vacation home her parents have rented high up in the mountains. But in the mysterious woods behind the house, the effects of a tragic secret are about to erupt - with Layla caught in the middle. Rebecca Waldman could lose everything if she sets foot outside her home before she marries. When she finds herself trapped in a scheme that threatens to upend her world - and with the only person who can help her deliriously ill - Rebecca is forced to search deep within herself. In a remarkable chain of events that can only be defined as hashgachah pratis, Layla and Rebecca desperately race against time to unravel the mystery that holds Rebecca hostage. Over the Gate is the gripping story of two teenagers from the turn of the century who discover the power of friendship and selflessness and the strength and courage it gives them. Together, they witness the triumph of good as old secrets are finally laid to rest""-- Back cover.",Jewish girls;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
hk0641,item,Finish line : short stories about kids overcoming obstacles,,,,,placeholder.jpg,"Jakubowicz, M",2018,Hamodia Publishing,"Brooklyn, NY",,,,,,,287 pages,24 cm,,,,,,,,,"""What should you do when... There's a snake in the house where you're babysitting? Your bike is stolen hours before a grand bike-a-thon? The new kid in your class won't stop playing pranks? The best note-taker in your class can no longer take notes? You're so short that people treat you like a little kid? In this captivating collection of short stories by M. Jakubowicz, you'll read all about kids just like you. Get ready to laugh and cry with them all the way to the finish line!""--back cover.",Adjustment (Psychology);United States;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,item
